SR Number,Name,Brand,Category,Price,Stock,Color,Size,Availability
1,Compact Printer Air Advanced Digital,"Garner, Boyle and Flynn",Books & Stationery,265,774,ForestGreen,Large,pre_order
2,Tablet,Mueller Inc,Shoes & Footwear,502,81,Black,M,in_stock
3,Smart Blender Cooker,"Lawson, Keller and Winters",Kitchen Appliances,227,726,SlateGray,XS,in_stock
4,Advanced Router Rechargeable,Gallagher and Sons,Kitchen Appliances,121,896,PaleGreen,L,discontinued
5,Portable Mouse Monitor Phone,Irwin LLC,Kids' Clothing,1,925,SeaShell,100x200 mm,discontinued
6,Radio,"Benjamin, Nelson and Hancock",Skincare,426,549,CornflowerBlue,30x40 cm,pre_order
7,Ultra Projector Oven Thermostat Prime Advanced,"Mccoy, Waters and Rose",Laptops & Computers,68,870,Purple,S,discontinued
8,Webcam Stove Grill,Morrow and Sons,Automotive,159,584,MediumOrchid,8x10 in,pre_order
9,Eco Radio,"Edwards, Odonnell and Conley",Skincare,454,499,DimGray,Medium,pre_order
10,Ultra Powerbank Brush Charger Max,"Brennan, Archer and Rosales",Fitness Equipment,845,564,Silver,Extra Large,discontinued
11,Wireless Dock,Russo-West,Health & Wellness,257,168,Wheat,Extra Large,pre_order
12,Fast Camera Router Fan Smart,Vazquez and Sons,Cleaning Supplies,221,672,MidnightBlue,Medium,pre_order
13,Heater Radio,Delgado-Blackwell,Cycling,689,156,Orange,L,pre_order
14,Smart Trimmer Webcam Heater,Contreras PLC,Automotive,279,818,Gainsboro,XXL,pre_order
15,Webcam Dock Heater,"Juarez, Powell and Travis",Cleaning Supplies,101,159,Sienna,30x40 cm,pre_order
16,Automatic Watch Lite Sense,"Reid, Chase and Ballard",Team Sports,316,329,Tan,5x7 in,limited_stock
17,Eco Iron Monitor Air,Barker-Murphy,Automotive,982,47,OliveDrab,XL,out_of_stock
18,Digital Tablet Router Printer Lite,Vazquez-Smith,Health & Wellness,3,732,LemonChiffon,10x10 cm,backorder
19,Eco Freezer Powerbank Watch,"Pruitt, Higgins and Barnett",Cleaning Supplies,340,618,Cyan,S,limited_stock
20,Cooler Fan,Bray LLC,Smartphones,529,844,Bisque,XS,backorder
21,Portable Camera Plus Air Ultra,Wang-Valenzuela,Women's Clothing,197,163,Magenta,L,in_stock
22,Wireless Powerbank 360 Advanced Ultra,Carney Ltd,Bedding & Bath,677,418,Beige,M,out_of_stock
23,Rechargeable Lamp Speakerphone Headphones,"Gallegos, Osborne and Carpenter",Skincare,664,577,DarkBlue,L,pre_order
24,Mini Scooter Microphone,"Douglas, Thornton and Soto",Grooming Tools,784,510,DimGray,L,backorder
25,Rechargeable Webcam Stove Grill,Horn-Pope,Health & Wellness,900,623,PaleGreen,5x7 in,out_of_stock
26,Mini Iron Drone Wireless Pro,Khan-Parrish,Cycling,909,797,CadetBlue,XXL,limited_stock
27,Portable Freezer Phone Automatic Smart,Burton PLC,Automotive,350,756,Snow,XL,pre_order
28,Wireless Webcam Stove Grill,Henry Group,Clothing & Apparel,858,912,LightSalmon,50x70 cm,limited_stock
29,Clock Brush,Larson-Spence,Furniture,985,180,SaddleBrown,Extra Large,in_stock
30,Keyboard Toaster Monitor,Bonilla-Spears,Kids' Clothing,576,988,DarkSlateGray,L,pre_order
